[MONO]
mono_fixed_no_interface|Upwind1|BE|2.352e-02|1.196e-02|6.056e-03|0.976|0.982
mono_fixed_no_interface|Upwind1|CN|1.720e-02|8.665e-03|4.348e-03|0.989|0.995
mono_fixed_no_interface|Centered|BE|6.659e-03|3.358e-03|1.722e-03|0.988|0.964
mono_fixed_no_interface|Centered|CN|1.224e-03|3.069e-04|7.694e-05|1.996|1.996
mono_fixed_interface|Upwind1|BE|3.846e-02|3.497e-02|3.392e-02|0.137|0.044
mono_fixed_interface|Upwind1|CN|4.018e-02|3.604e-02|3.452e-02|0.157|0.062
mono_fixed_interface|Centered|BE|1.603e-02|3.189e-02|6.382e+00|-0.992|-7.645
mono_fixed_interface|Centered|CN|1.538e-02|2.065e-02|4.509e-01|-0.425|-4.449
mono_moving_no_interface|Upwind1|BE|2.352e-02|1.196e-02|6.056e-03|0.976|0.982
mono_moving_no_interface|Upwind1|CN|1.720e-02|8.665e-03|4.348e-03|0.989|0.995
mono_moving_no_interface|Centered|BE|6.659e-03|3.358e-03|1.722e-03|0.988|0.964
mono_moving_no_interface|Centered|CN|1.224e-03|3.069e-04|7.694e-05|1.996|1.996
mono_moving_material_interface|Upwind1|BE|4.060e-02|2.209e-02|1.216e-02|0.878|0.862
mono_moving_material_interface|Upwind1|CN|3.419e-02|1.795e-02|9.754e-03|0.930|0.880
mono_moving_material_interface|Centered|BE|2.182e-02|1.093e-02|5.877e-03|0.998|0.895
mono_moving_material_interface|Centered|CN|1.679e-02|7.870e-03|4.383e-03|1.093|0.844
[TWO]
two_fixed_no_interface|Upwind1|BE|2.352e-02|1.196e-02|6.056e-03|0.976|0.982|2.352e-02|1.196e-02|6.056e-03|0.976|0.982
two_fixed_no_interface|Upwind1|CN|1.720e-02|8.665e-03|4.348e-03|0.989|0.995|1.720e-02|8.665e-03|4.348e-03|0.989|0.995
two_fixed_no_interface|Centered|BE|6.659e-03|3.358e-03|1.722e-03|0.988|0.964|6.659e-03|3.358e-03|1.722e-03|0.988|0.964
two_fixed_no_interface|Centered|CN|1.224e-03|3.069e-04|7.694e-05|1.996|1.996|1.224e-03|3.069e-04|7.694e-05|1.996|1.996
two_fixed_interface_same_scalar|Upwind1|BE|2.626e-02|1.315e-02|5.250e-03|0.998|1.324|2.317e-02|1.191e-02|6.751e-03|0.960|0.819
two_fixed_interface_same_scalar|Upwind1|CN|4.349e-02|2.580e-02|1.249e-02|0.753|1.046|2.854e-02|1.403e-02|7.240e-03|1.024|0.955
two_fixed_interface_same_scalar|Centered|BE|6.737e-02|9.666e-02|1.097e-01|-0.521|-0.182|6.352e-02|9.111e-02|1.116e-01|-0.520|-0.293
two_fixed_interface_same_scalar|Centered|CN|7.339e-02|1.005e-01|1.145e-01|-0.454|-0.188|5.872e-02|9.215e-02|1.175e-01|-0.650|-0.350
two_moving_no_interface|Upwind1|BE|2.352e-02|1.196e-02|6.056e-03|0.976|0.982|2.352e-02|1.196e-02|6.056e-03|0.976|0.982
two_moving_no_interface|Upwind1|CN|1.720e-02|8.665e-03|4.348e-03|0.989|0.995|1.720e-02|8.665e-03|4.348e-03|0.989|0.995
two_moving_no_interface|Centered|BE|6.659e-03|3.358e-03|1.722e-03|0.988|0.964|6.659e-03|3.358e-03|1.722e-03|0.988|0.964
two_moving_no_interface|Centered|CN|1.224e-03|3.069e-04|7.694e-05|1.996|1.996|1.224e-03|3.069e-04|7.694e-05|1.996|1.996
two_moving_material_interface_same_scalar|Upwind1|BE|4.060e-02|2.209e-02|1.216e-02|0.878|0.862|2.262e-02|1.306e-02|7.602e-03|0.792|0.781
two_moving_material_interface_same_scalar|Upwind1|CN|3.419e-02|1.795e-02|9.754e-03|0.930|0.880|1.793e-02|1.029e-02|5.947e-03|0.801|0.791
two_moving_material_interface_same_scalar|Centered|BE|2.182e-02|1.093e-02|5.877e-03|0.998|0.895|1.023e-02|6.178e-03|3.699e-03|0.728|0.740
two_moving_material_interface_same_scalar|Centered|CN|1.679e-02|7.870e-03|4.383e-03|1.093|0.844|8.282e-03|4.701e-03|2.763e-03|0.817|0.767
